# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
1,0,1,NON-LP,closed,-0x5.c4p+4,-0x5.bcp+4,-0x5.cp+4,0xC2B8,-92.25,-91.75
2,0,2,NON-LP,open,-0x5.bcp+4,-0x5.b4p+4,-0x5.b8p+4,0xC2B7,-91.75,-91.25
3,0,3,NON-LP,closed,-0x5.b4p+4,-0x5.acp+4,-0x5.bp+4,0xC2B6,-91.25,-90.75
4,0,4,NON-LP,closed,-0x5.b4p+4,-0x5.acp+4,-0x5.bp+4,0xC2B6,-91.25,-90.75
5,0,5,NON-LP,open,-0x5.acp+4,-0x5.a4p+4,-0x5.a8p+4,0xC2B5,-90.75,-90.25
6,0,6,NON-LP,open,-0x5.acp+4,-0x5.a4p+4,-0x5.a8p+4,0xC2B5,-90.75,-90.25
7,0,7,NON-LP,closed,-0x5.a4p+4,-0x5.9cp+4,-0x5.ap+4,0xC2B4,-90.25,-89.75
8,0,8,NON-LP,closed,-0x5.a4p+4,-0x5.9cp+4,-0x5.ap+4,0xC2B4,-90.25,-89.75
9,0,9,NON-LP,closed,-0x5.a4p+4,-0x5.9cp+4,-0x5.ap+4,0xC2B4,-90.25,-89.75
10,0,10,NON-LP,closed,-0x5.a4p+4,-0x5.9cp+4,-0x5.ap+4,0xC2B4,-90.25,-89.75
11,0,11,NON-LP,closed,-0x5.a4p+4,-0x5.9cp+4,-0x5.ap+4,0xC2B4,-90.25,-89.75
12,0,12,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
13,0,13,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
14,0,14,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
15,0,15,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
16,0,16,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
17,0,17,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
18,0,18,NON-LP,open,-0x5.9cp+4,-0x5.94p+4,-0x5.98p+4,0xC2B3,-89.75,-89.25
19,0,19,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
20,0,20,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
21,0,21,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
22,0,22,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
23,0,23,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
24,0,24,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
25,0,25,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
26,0,26,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
27,0,27,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
28,0,28,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
29,0,29,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
30,0,30,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
31,0,31,NON-LP,closed,-0x5.94p+4,-0x5.8cp+4,-0x5.9p+4,0xC2B2,-89.25,-88.75
32,0,32,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
33,0,33,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
34,0,34,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
35,0,35,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
36,0,36,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
37,0,37,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
38,0,38,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
39,0,39,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
40,0,40,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
41,0,41,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
42,0,42,NON-LP,open,-0x5.8cp+4,-0x5.84p+4,-0x5.88p+4,0xC2B1,-88.75,-88.25
