# ln(x) precompute for all valid bfloat16 inputs (MPFR 4.2.1)
# decomposition: i1=u>>7 (exp field), i2=u&0x7f (mantissa)
# x = x1*x2, x1=2^(i1-127), x2=1+i2/128; ln(x)=T1[i1]+T2[i2]
# work precision = 200 bits, bf16 significand = 8 bits, RNDN
# columns: u,i1,i2,subnormal,x_hex,lnx_exact_hex,y_hex,y_bits
0,0,0,1,0x0p+0,-inf,-inf,0xFF80
1,0,1,1,0x8p-136,-0x5.c304673c000ca363fe34c4dfa0d3a290cbe61e2f98956a5a88p+4,-0x5.cp+4,0xC2B8
2,0,2,1,0x1p-132,-0x5.b7ed45bc82efabc9419689a620947325d7d6e9fd316bdef7bp+4,-0x5.b8p+4,0xC2B7
3,0,3,1,0x1.8p-132,-0x5.b1707cc1530998cc93f32c0a507feac57004da01fd17617b88p+4,-0x5.bp+4,0xC2B6
4,0,4,1,0x2p-132,-0x5.acd6243d05d2b42e84f84e6ca05543bae3c7b5caca425394d8p+4,-0x5.bp+4,0xC2B6
5,0,5,1,0x2.8p-132,-0x5.a9442544127f6ff9003d4a8e405e0f718751572389277779cp+4,-0x5.a8p+4,0xC2B5
6,0,6,1,0x3p-132,-0x5.a6595b41d5eca131d754f0d0d040bb5a7bf5a5cf95edd618bp+4,-0x5.a8p+4,0xC2B5
7,0,7,1,0x3.8p-132,-0x5.a3e1f48dcdb24c0f8ecb7b72ae71e48c6722c14953aba65aep+4,-0x5.ap+4,0xC2B4
8,0,8,1,0x4p-132,-0x5.a1bf02bd88b5bc93c85a13332016144fefb881986318c832p+4,-0x5.ap+4,0xC2B4
9,0,9,1,0x4.8p-132,-0x5.9fdc9246a6068e3529b19335002c32fa142395d46199589c8p+4,-0x5.ap+4,0xC2B4
10,0,10,1,0x5p-132,-0x5.9e2d03c49562785e439f0f54c01ee006934222f121fdec16e8p+4,-0x5.ap+4,0xC2B4
11,0,11,1,0x5.8p-132,-0x5.9ca69fcd019e0bf4857b454650f9434a788baf4c6264849e38p+4,-0x5.ap+4,0xC2B4
12,0,12,1,0x6p-132,-0x5.9b4239c258cfa9971ab6b59750018bef87e6719d2ec44ab5d8p+4,-0x5.98p+4,0xC2B3
13,0,13,1,0x6.8p-132,-0x5.99fa5ee59cf40166f13926ee58d89e80996f7024392c53b6ep+4,-0x5.98p+4,0xC2B3
14,0,14,1,0x7p-132,-0x5.98cad30e50955474d22d40392e32b52173138d16ec821af808p+4,-0x5.98p+4,0xC2B3
15,0,15,1,0x7.8p-132,-0x5.97b03ac9657c656195fbb1b8f00a57a62b7012f5eda96e9acp+4,-0x5.98p+4,0xC2B3
16,0,16,1,0x8p-132,-0x5.96a7e13e0b98c4f90bbbd7f99fd6e4e4fba94d65fbef3ccf28p+4,-0x5.98p+4,0xC2B3
17,0,17,1,0x8.8p-132,-0x5.95af8fb80b0dafc5ffd58c6e287d4d5b6e74d892c493ea75cp+4,-0x5.98p+4,0xC2B3
18,0,18,1,0x9p-132,-0x5.94c570c728e9969a6d1357fb7fed038f201461a1fa6fcd39a8p+4,-0x5.98p+4,0xC2B3
19,0,19,1,0x9.8p-132,-0x5.93e7fb2ff6a64a7ffd3f96b8bbb26d852e5386309c0ffe6c1p+4,-0x5.9p+4,0xC2B2
20,0,20,1,0xap-132,-0x5.9315e245184580c38700d41b3fdfb09b9f32eebebad460b41p+4,-0x5.9p+4,0xC2B2
21,0,21,1,0xa.8p-132,-0x5.924e0a1320af41782489e29d5e1e2cc10b417d1bb82d9d7bep+4,-0x5.9p+4,0xC2B2
22,0,22,1,0xbp-132,-0x5.918f7e4d84811459c8dd0a0cd0ba13df847c7b19fb3af93b6p+4,-0x5.9p+4,0xC2B2
23,0,23,1,0xb.8p-132,-0x5.90d96b405ca4c351d328c2faeadb068a4dcb3c891195c7537p+4,-0x5.9p+4,0xC2B2
24,0,24,1,0xcp-132,-0x5.902b1842dbb2b1fc5e187a5dcfc25c8493d73d6ac79abf53p+4,-0x5.9p+4,0xC2B2
25,0,25,1,0xc.8p-132,-0x5.8f83e34c24f23c8e0245d03cdfe87c5242bc901779b98498f8p+4,-0x5.9p+4,0xC2B2
26,0,26,1,0xdp-132,-0x5.8ee33d661fd709cc349aebb4d8996f15a5603bf1d202c85408p+4,-0x5.9p+4,0xC2B2
27,0,27,1,0xd.8p-132,-0x5.8e48a7cbf903839dbf6ffa5fafd87b2eb84251a6c61b4fbd8p+4,-0x5.9p+4,0xC2B2
28,0,28,1,0xep-132,-0x5.8db3b18ed3785cda158f04ffadf385b67f0458e485588f953p+4,-0x5.9p+4,0xC2B2
29,0,29,1,0xe.8p-132,-0x5.8d23f5a4641065e930f386feec6a06037af24c32c3dda12618p+4,-0x5.9p+4,0xC2B2
30,0,30,1,0xfp-132,-0x5.8c991949e85f6dc6d95d767f6fcb283b3760dec3867fe337e8p+4,-0x5.9p+4,0xC2B2
31,0,31,1,0xf.8p-132,-0x5.8c12caaaddb5ef81cfd7806ec65bfa690ea02c6f572ba19d4p+4,-0x5.9p+4,0xC2B2
32,0,32,1,0x1p-128,-0x5.8b90bfbe8e7bcd5e4f1d9cc01f97b57a079a193394c5b16c5p+4,-0x5.88p+4,0xC2B1
33,0,33,1,0x1.08p-128,-0x5.8b12b552549b015d1b39ac7100a58b7f1caa6b1ec6e67bbf3p+4,-0x5.88p+4,0xC2B1
34,0,34,1,0x1.1p-128,-0x5.8a986e388df0b82b43375134a83e1df07a65a4605d6a5f12e8p+4,-0x5.88p+4,0xC2B1
35,0,35,1,0x1.18p-128,-0x5.8a21b295e02518a490d401214dfc516d228dfa3d443db37a18p+4,-0x5.88p+4,0xC2B1
36,0,36,1,0x1.2p-128,-0x5.89ae4f47abcc9effb0751cc1ffadd4242c052d6f934641d6dp+4,-0x5.88p+4,0xC2B1
37,0,37,1,0x1.28p-128,-0x5.893e155f8a7d28f4ce620e9fe0b8686967dd88c29ce311b18p+4,-0x5.88p+4,0xC2B1
38,0,38,1,0x1.3p-128,-0x5.88d0d9b0798952e540a15b7f3b733e1a3a4451fe34e6730938p+4,-0x5.88p+4,0xC2B1
39,0,39,1,0x1.38p-128,-0x5.8866746aeff0f6cf86f78e190884e6b53d8e2bf69dae4ad7ep+4,-0x5.88p+4,0xC2B1
40,0,40,1,0x1.4p-128,-0x5.87fec0c59b288928ca6298e1bfa08130ab23ba8c53aad55138p+4,-0x5.88p+4,0xC2B1
41,0,41,1,0x1.48p-128,-0x5.87999cb0e2b4080ca474cf392cfd5c38e39494ee39a2e954ap+4,-0x5.88p+4,0xC2B1
42,0,42,1,0x1.5p-128,-0x5.8736e893a39249dd67eba763dddefd56173248e95104121908p+4,-0x5.88p+4,0xC2B1
43,0,43,1,0x1.58p-128,-0x5.86d6870fd634813743eb561edd90e642501f423872569c4b18p+4,-0x5.88p+4,0xC2B1
44,0,44,1,0x1.6p-128,-0x5.86785cce07641cbf0c3eced3507ae474906d46e794116dd888p+4,-0x5.88p+4,0xC2B1
45,0,45,1,0x1.68p-128,-0x5.861c504eb8795aca2bba18e39fb69fdacf8ecec8522b65bbb8p+4,-0x5.88p+4,0xC2B1
46,0,46,1,0x1.7p-128,-0x5.85c249c0df87cbb7168a87c16a9bd71f59bc0856aa6c3bf098p+4,-0x5.88p+4,0xC2B1
47,0,47,1,0x1.78p-128,-0x5.856a32dcde2b36b0e5577c7c10925a3a0b36f1185474573a58p+4,-0x5.88p+4,0xC2B1
48,0,48,1,0x1.8p-128,-0x5.8513f6c35e95ba61a17a3f244f832d199fc80938607133f028p+4,-0x5.88p+4,0xC2B1
49,0,49,1,0x1.88p-128,-0x5.84bf81df9b57f4bb1f623205bc102688025f64630ec1e25b38p+4,-0x5.88p+4,0xC2B1
50,0,50,1,0x1.9p-128,-0x5.846cc1cca7d544f345a795035fa94ce74ead5be5128ff9362p+4,-0x5.88p+4,0xC2B1
51,0,51,1,0x1.98p-128,-0x5.841ba53d5e0aa52e9593f398d8299590129394652915e196cp+4,-0x5.88p+4,0xC2B1
52,0,52,1,0x1.ap-128,-0x5.83cc1be6a2ba123177fcb07b585a3faab15107bf6ad93cf13p+4,-0x5.8p+4,0xC2B0
53,0,53,1,0x1.a8p-128,-0x5.837e166bbb934dfb00e8ee00ab97d23322e1606ed176f5e268p+4,-0x5.8p+4,0xC2B0
54,0,54,1,0x1.bp-128,-0x5.8331864c7be68c0302d1bf262f994bc3c4331d745ef1c45aa8p+4,-0x5.8p+4,0xC2B0
55,0,55,1,0x1.b8p-128,-0x5.82e65dd51410d8898783caf4f083b02b33f6e84052f691bd7p+4,-0x5.8p+4,0xC2B0
56,0,56,1,0x1.cp-128,-0x5.829c900f565b653f58f0c9c62db4564b8af524b21e2f043258p+4,-0x5.8p+4,0xC2B0
57,0,57,1,0x1.c8p-128,-0x5.825410b549a33fe892fdfde36b5eb5b9d27242030091f58d08p+4,-0x5.8p+4,0xC2B0
58,0,58,1,0x1.dp-128,-0x5.820cd424e6f36e4e74554bc56c2ad69886e318005cb415c34p+4,-0x5.8p+4,0xC2B0
59,0,59,1,0x1.d8p-128,-0x5.81c6cf54e366c0896cfc6ca4b00b7c83e6289c9524c19e465p+4,-0x5.8p+4,0xC2B0
60,0,60,1,0x1.ep-128,-0x5.8181f7ca6b42762c1cbf3b45ef8bf8d04351aa911f5657d51p+4,-0x5.8p+4,0xC2B0
61,0,61,1,0x1.e8p-128,-0x5.813e438fb65c6fdd3b3df8eca97c526320a3001609d132f808p+4,-0x5.8p+4,0xC2B0
62,0,62,1,0x1.fp-128,-0x5.80fba92b6098f7e713394535461ccafe1a90f83cf002163a68p+4,-0x5.8p+4,0xC2B0
63,0,63,1,0x1.f8p-128,-0x5.80ba1f9873ac36e0ba4849c80dca74f5af6038ee1caf949cd8p+4,-0x5.8p+4,0xC2B0
64,0,64,1,0x2p-128,-0x5.80799e3f115ed5c3927f61869f58860f138ae5012d9c260978p+4,-0x5.8p+4,0xC2B0
65,0,65,1,0x2.08p-128,-0x5.803a1cedaf66cdfbf341ac9cf8630b6154daa91829be60d618p+4,-0x5.8p+4,0xC2B0
66,0,66,1,0x2.1p-128,-0x5.7ffb93d2d77e09c25e9b713780665c14289b36ec5fbcf05c58p+4,-0x5.8p+4,0xC2B0
67,0,67,1,0x2.18p-128,-0x5.7fbdfb775fc7ede160d7cc772d05c4ab49cb74e603124d3e7p+4,-0x5.8p+4,0xC2B0
68,0,68,1,0x2.2p-128,-0x5.7f814cb910d3c090869915fb27feee858656702df640d3b01p+4,-0x5.8p+4,0xC2B0
69,0,69,1,0x2.28p-128,-0x5.7f4580c5afa1b8ba68e72a259a874ebef1e9f85b7617be7468p+4,-0x5.8p+4,0xC2B0
70,0,70,1,0x2.3p-128,-0x5.7f0a911663082109d435c5e7cdbd22022e7ec60add1428174p+4,-0x5.8p+4,0xC2B0
71,0,71,1,0x2.38p-128,-0x5.7ed0776b6cb17f8d41c23edcdbae3995699466de4062990798p+4,-0x5.8p+4,0xC2B0
72,0,72,1,0x2.4p-128,-0x5.7e972dc82eafa764f3d6e1887f6ea4b937f5f93d2c1cb673f8p+4,-0x5.8p+4,0xC2B0
73,0,73,1,0x2.48p-128,-0x5.7e5eae6f774d0a96bf91323e8702b44a8ebf95285d63c519fp+4,-0x5.8p+4,0xC2B0
74,0,74,1,0x2.5p-128,-0x5.7e26f3e00d60315a11c3d366607938fe73ce549035b9864ea8p+4,-0x5.8p+4,0xC2B0
75,0,75,1,0x2.58p-128,-0x5.7deff8d177ef31f6980437678f94c486e6db4be9de3b7bb9f8p+4,-0x5.8p+4,0xC2B0
76,0,76,1,0x2.6p-128,-0x5.7db9b830fc6c5b4a84032045bb340eaf46351dcbcdbce7a658p+4,-0x5.8p+4,0xC2B0
77,0,77,1,0x2.68p-128,-0x5.7d842d1ecf43b4a01611fbd95e97854613c852661d7ac09e88p+4,-0x5.8p+4,0xC2B0
78,0,78,1,0x2.7p-128,-0x5.7d4f52eb72d3ff34ca5952df8845b74a497ef7c43684bf7508p+4,-0x5.8p+4,0xC2B0
79,0,79,1,0x2.78p-128,-0x5.7d1b25154146d76878b35e5fa5b9cc989cef5966d04b5bf4dp+4,-0x5.8p+4,0xC2B0
80,0,80,1,0x2.8p-128,-0x5.7ce79f461e0b918e0dc45da83f6151c5b7148659ec8149ee6p+4,-0x5.8p+4,0xC2B0
81,0,81,1,0x2.88p-128,-0x5.7cb4bd514c007906552e618a5f84c3635c610d792a9d46de8p+4,-0x5.8p+4,0xC2B0
82,0,82,1,0x2.9p-128,-0x5.7c827b3165971071e7d693ffacbe2ccdef8560bbd2795df1c8p+4,-0x5.8p+4,0xC2B0
83,0,83,1,0x2.98p-128,-0x5.7c50d506747a9cebb5817980835577e635878a054d04f82608p+4,-0x5.8p+4,0xC2B0
84,0,84,1,0x2.ap-128,-0x5.7c1fc71426755242ab4d6c2a5d9fcdeb232314b6e9da86b628p+4,-0x5.8p+4,0xC2B0
85,0,85,1,0x2.a8p-128,-0x5.7bef4dc01d807c5b01de121cc807ba3c29e01186b525f794f8p+4,-0x5.78p+4,0xC2AF
86,0,86,1,0x2.bp-128,-0x5.7bbf65905917899c874d1ae55d51b6d75c100e060b2d10e84p+4,-0x5.78p+4,0xC2AF
87,0,87,1,0x2.b8p-128,-0x5.7b900b29b70d5b51c6b1ee299c164e381f110805285f98471p+4,-0x5.78p+4,0xC2AF
88,0,88,1,0x2.cp-128,-0x5.7b613b4e8a4725244fa09399d03bb5099c5e12b52ce7e275bp+4,-0x5.78p+4,0xC2AF
89,0,89,1,0x2.c8p-128,-0x5.7b32f2dd45e0ca8120300952b49c23d474ec7a07ae40134b58p+4,-0x5.78p+4,0xC2AF
90,0,90,1,0x2.dp-128,-0x5.7b052ecf3b5c632f6f1bddaa1f77706fdb7f9a95eb01da58ep+4,-0x5.78p+4,0xC2AF
91,0,91,1,0x2.d8p-128,-0x5.7ad7ec376a99aa1281cfdd816676e07c34ac133df4428fb738p+4,-0x5.78p+4,0xC2AF
92,0,92,1,0x2.ep-128,-0x5.7aab2841626ad41c59ec4c87ea5ca7b465acd4244342b08db8p+4,-0x5.78p+4,0xC2AF
93,0,93,1,0x2.e8p-128,-0x5.7a7ee03030b2e4ea6595e7997608429db2bee841bbad98be38p+4,-0x5.78p+4,0xC2AF
94,0,94,1,0x2.fp-128,-0x5.7a53115d610e3f1628b9414290532acf1727bce5ed4acbd78p+4,-0x5.78p+4,0xC2AF
95,0,95,1,0x2.f8p-128,-0x5.7a27b93809191714ff481c675b3cda65e9bebf248ca20b8b48p+4,-0x5.78p+4,0xC2AF
96,0,96,1,0x3p-128,-0x5.79fcd543e178c2c6e4dc03eacf43fdaeabb8d505f947a88d5p+4,-0x5.78p+4,0xC2AF
97,0,97,1,0x3.08p-128,-0x5.79d263186adcc360406b643ad607ae51018e561ec63361bad8p+4,-0x5.78p+4,0xC2AF
98,0,98,1,0x3.1p-128,-0x5.79a860601e3afd2062c3f6cc3bd0f71d0e503030a79856f86p+4,-0x5.78p+4,0xC2AF
99,0,99,1,0x3.18p-128,-0x5.797ecad7a797f6c5b0f8139bb051d3b3c0c926f12b6872e03p+4,-0x5.78p+4,0xC2AF
100,0,100,1,0x3.2p-128,-0x5.7955a04d2ab84d58890959c9df6a1d7c5a9e27b2ab666dd348p+4,-0x5.78p+4,0xC2AF
101,0,101,1,0x3.28p-128,-0x5.792cde9f9123e06b1acd2e8ba52188f6683ce5a2302dcdc988p+4,-0x5.78p+4,0xC2AF
102,0,102,1,0x3.3p-128,-0x5.790483bde0edad93d8f5b85f57ea66251e846032c1ec5633e8p+4,-0x5.78p+4,0xC2AF
103,0,103,1,0x3.38p-128,-0x5.78dc8da69bbcf3cab31685b77086cacec9720256cebc10f77p+4,-0x5.78p+4,0xC2AF
104,0,104,1,0x3.4p-128,-0x5.78b4fa67259d1a96bb5e7541d81b103fbd41d38d03afb18e58p+4,-0x5.78p+4,0xC2AF
105,0,105,1,0x3.48p-128,-0x5.788dc81b33220e0d2692684bfda899a1c6acb60fa8bfaa9b18p+4,-0x5.78p+4,0xC2AF
106,0,106,1,0x3.5p-128,-0x5.7866f4ec3e765660444ab2c72b58a2c82ed22c3c6a4d6a7f9p+4,-0x5.78p+4,0xC2AF
107,0,107,1,0x3.58p-128,-0x5.78407f1102ef359c66b4453e13e32ae3992d6fe01b8b2eac9p+4,-0x5.78p+4,0xC2AF
108,0,108,1,0x3.6p-128,-0x5.781a64ccfec99468463383ecaf5a1c58d023e941f7c838f7dp+4,-0x5.78p+4,0xC2AF
109,0,109,1,0x3.68p-128,-0x5.77f4a46ffab88a44a0891400e2cc26eafd4c756825b777f5fp+4,-0x5.78p+4,0xC2AF
110,0,110,1,0x3.7p-128,-0x5.77cf3c5596f3e0eecae58fbb704480c03fe7b40debcd065a98p+4,-0x5.78p+4,0xC2AF
111,0,111,1,0x3.78p-128,-0x5.77aa2ae4dd7a1e5d642075ca9064b09e0bfc4495016508d278p+4,-0x5.78p+4,0xC2AF
